Grapheme	Segments	CLPA	Structure	Unicode	Frequency	Reflexes	Examples
juʔ	j u ʔ	j u ʔ	m n c	U+006a U+0020 U+0075 U+0020 U+0294	17	Atsi	kjuʔ²¹
jit	j i t	j i t	m n c	U+006a U+0020 U+0069 U+0020 U+0074	14	Atsi	mjit²¹
jap	j a p	j a p	m n c	U+006a U+0020 U+0061 U+0020 U+0070	12	Atsi	khjap⁵⁵
jin	j i n	j i n	m n c	U+006a U+0020 U+0069 U+0020 U+006e	12	Atsi	jin⁵⁵
juŋ	j u ŋ	j u ŋ	m n c	U+006a U+0020 U+0075 U+0020 U+014b	8	Atsi	khjuŋ²¹
ju̱m	j u̱ m	j ṵ m	m n c	U+006a U+0020 U+0075 U+0331 U+0020 U+006d	8	Atsi	ju̱m⁵¹
ja̱ŋ	j a̱ ŋ	j a̰ ŋ	m n c	U+006a U+0020 U+0061 U+0331 U+0020 U+014b	7	Atsi	kja̱ŋ⁵¹
jo̱ʔ	j o̱ ʔ	j o̰ ʔ	m n c	U+006a U+0020 U+006f U+0331 U+0020 U+0294	7	Atsi	pjo̱ʔ⁵⁵
ju̱p	j u̱ p	j ṵ p	m n c	U+006a U+0020 U+0075 U+0331 U+0020 U+0070	6	Atsi	ju̱p⁵⁵
jun	j u n	j u n	m n c	U+006a U+0020 U+0075 U+0020 U+006e	6	Atsi	ŋjun⁵¹
ja̱m	j a̱ m	j a̰ m	m n c	U+006a U+0020 U+0061 U+0331 U+0020 U+006d	6	Atsi	kja̱m⁵⁵
jik	j i k	j i k	m n c	U+006a U+0020 U+0069 U+0020 U+006b	5	Atsi	phjik⁵⁵
ji̱n	j i̱ n	j ḭ n	m n c	U+006a U+0020 U+0069 U+0331 U+0020 U+006e	4	Atsi	kji̱n²¹
jup	j u p	j u p	m n c	U+006a U+0020 U+0075 U+0020 U+0070	4	Atsi	jup⁵⁵
jon	j o n	j o n	m n c	U+006a U+0020 U+006f U+0020 U+006e	4	Atsi	kjon²¹
jaʔ	j a ʔ	j a ʔ	m n c	U+006a U+0020 U+0061 U+0020 U+0294	4	Atsi	kjaʔ⁵⁵
jom	j o m	j o m	m n c	U+006a U+0020 U+006f U+0020 U+006d	3	Atsi	kjom²¹
jut	j u t	j u t	m n c	U+006a U+0020 U+0075 U+0020 U+0074	3	Atsi	kjut²¹
ji̱k	j i̱ k	j ḭ k	m n c	U+006a U+0020 U+0069 U+0331 U+0020 U+006b	3	Atsi	pji̱k⁵⁵
jan	j a n	j a n	m n c	U+006a U+0020 U+0061 U+0020 U+006e	3	Atsi	jan⁵⁵
ja̱p	j a̱ p	j a̰ p	m n c	U+006a U+0020 U+0061 U+0331 U+0020 U+0070	3	Atsi	mja̱p²¹
jo̱n	j o̱ n	j o̰ n	m n c	U+006a U+0020 U+006f U+0331 U+0020 U+006e	2	Atsi	jo̱n⁵⁵
ju̱ʔ	j u̱ ʔ	j ṵ ʔ	m n c	U+006a U+0020 U+0075 U+0331 U+0020 U+0294	2	Atsi	kju̱ʔ⁵⁵
jen	j e n	j e n	m n c	U+006a U+0020 U+0065 U+0020 U+006e	2	Atsi	pjen⁵⁵
jop	j o p	j o p	m n c	U+006a U+0020 U+006f U+0020 U+0070	2	Atsi	khjop²¹
je̱t	j e̱ t	j ḛ t	m n c	U+006a U+0020 U+0065 U+0331 U+0020 U+0074	2	Atsi	pje̱t⁵⁵
ju̱n	j u̱ n	j ṵ n	m n c	U+006a U+0020 U+0075 U+0331 U+0020 U+006e	2	Atsi	ŋju̱n²¹
ju̱ŋ	j u̱ ŋ	j ṵ ŋ	m n c	U+006a U+0020 U+0075 U+0331 U+0020 U+014b	2	Atsi	pju̱ŋ²¹
jeʔ	j e ʔ	j e ʔ	m n c	U+006a U+0020 U+0065 U+0020 U+0294	2	Atsi	phjeʔ²¹
je̱ʔ	j e̱ ʔ	j ḛ ʔ	m n c	U+006a U+0020 U+0065 U+0331 U+0020 U+0294	1	Atsi	pje̱ʔ²¹
jum	j u m	j u m	m n c	U+006a U+0020 U+0075 U+0020 U+006d	1	Atsi	mjum⁵¹
je̱n	j e̱ n	j ḛ n	m n c	U+006a U+0020 U+0065 U+0331 U+0020 U+006e	1	Atsi	pje̱n⁵⁵
jek	j e k	j e k	m n c	U+006a U+0020 U+0065 U+0020 U+006b	1	Atsi	khjek⁵⁵
je̱k	j e̱ k	j ḛ k	m n c	U+006a U+0020 U+0065 U+0331 U+0020 U+006b	1	Atsi	kje̱k⁵⁵
ja̱ʔ	j a̱ ʔ	j a̰ ʔ	m n c	U+006a U+0020 U+0061 U+0331 U+0020 U+0294	1	Atsi	kja̱ʔ⁵⁵
ja̱t	j a̱ t	j a̰ t	m n c	U+006a U+0020 U+0061 U+0331 U+0020 U+0074	1	Atsi	pja̱t²¹
jet	j e t	j e t	m n c	U+006a U+0020 U+0065 U+0020 U+0074	1	Atsi	khjet⁵⁵
joŋ	j o ŋ	j o ŋ	m n c	U+006a U+0020 U+006f U+0020 U+014b	1	Atsi	khjoŋ⁵⁵
jeŋ	j e ŋ	j e ŋ	m n c	U+006a U+0020 U+0065 U+0020 U+014b	1	Atsi	jeŋ²¹
jo̱m	j o̱ m	j o̰ m	m n c	U+006a U+0020 U+006f U+0331 U+0020 U+006d	1	Atsi	ŋjo̱m⁵⁵
jep	j e p	j e p	m n c	U+006a U+0020 U+0065 U+0020 U+0070	1	Atsi	kjep²¹
jok	j o k	j o k	m n c	U+006a U+0020 U+006f U+0020 U+006b	1	Atsi	kjok²¹
ui	u i	u i	m n	U+0075 U+0020 U+0069	103	Atsi	tsui⁵¹
