# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	CROSSIDS	TMP_STRUCTURE	TMP_TOKENS
8916	Bola	arrow	596	li³¹ʃɿ³⁵	7956 6825	i r t + i r t	l i ³¹ + ʃ ɿ ³⁵
11945	Old_Burmese	arrow	596	mla	525	i m r t	ml l la ²²
#
3313	Achang_Longchuan	ask / question	1589	ȵi³¹	538	i r t	ȵ i ³¹
8173	Maru	ask / question	1589	mjik⁵⁵	539	i m r t	mj j jik ⁵⁵
9900	Bola	ask / question	1589	məi³¹	539	i r t	m əi ³¹
12092	Old_Burmese	ask / question	1589	miyḥ	539	i r t	m əj ⁵⁵
#
3005	Achang_Longchuan	ask s.b. to come here / fetch	1263	kʐə⁵⁵	14422	i m r t	kʐ ʐ ʐə ⁵⁵
7861	Maru	ask s.b. to come here / fetch	1263	jɔ̃³¹	548	i m r t	ʔj j jɔ̃∼ ³¹
9570	Bola	ask s.b. to come here / fetch	1263	jɔ̃⁵⁵	548	i m r t	ʔj j jɔ̃∼ ⁵⁵
#
2669	Achang_Longchuan	askew / awry / slanting	910	mai³¹	555	i r t	m ai ³¹
7543	Maru	askew / awry / slanting	910	ja̱k⁵⁵	556	i m r t	ʔj j jak ⁵⁵
9224	Bola	askew / awry / slanting	910	ja̱k⁵⁵	556	i m r t	ʔj j jak ⁵⁵
#
3255	Achang_Longchuan	asleep, fall	1531	e³¹ mui³⁵	563 564	i r t + i r t	ʔ e ³¹ + m ui ³⁵
8114	Maru	asleep, fall	1531	jap³¹ mji̱k⁵⁵	15060 564	i m r t + i m r t	ʔj j jap ³¹ + ˀmj j jik ⁵⁵
9840	Bola	asleep, fall	1531	ja̱p⁵⁵ta̱³⁵	15060 566	i m r t + i r t	ʔj j jap ⁵⁵ + ˀt a ³⁵
#
2988	Achang_Longchuan	assess / estimate	1247	tak⁵⁵	582	i r t	t ak ⁵⁵
9553	Bola	assess / estimate	1247	ku³¹	583	i r t	k u ³¹
12030	Old_Burmese	assess / estimate	1247	mhanḥ	584	i r t	m̥ an ⁵⁵
#
2744	Achang_Longchuan	astringent	982	sop³⁵	590	i r t	s op ³⁵
7614	Maru	astringent	982	pə̱ŋ³¹	591	i r t	ˀp əŋ ³¹
9298	Bola	astringent	982	pɛ̱̃⁵⁵	591	i r t	ˀp ɛ̃∼ ⁵⁵
#
2455	Achang_Longchuan	at the bottom of (a hill)	684	the³¹	598	i r t	tʰ e ³¹
7326	Maru	at the bottom of (a hill)	684	ɔ³¹	16200	i r t	ʔ ɔ ³¹
#
2827	Achang_Longchuan	audit (accounts)	1074	tʂhaʔ³¹	16618	i r t	tʂʰ aʔ ³¹
7687	Maru	audit (accounts)	1074	tʃha³¹	16618	i r t	tʃh a ³¹
9388	Bola	audit (accounts)	1074	tʃha³¹	16618	i r t	tʃh a ³¹
#
3488	Achang_Longchuan	aunt (father's older sister) (note:father's_older_sister)	1844	paʔ³¹	613	i r t	p aʔ ³¹
10088	Bola	aunt (father's older sister) (note:father's_older_sister)	1844	nai⁵⁵ma³¹	614 615	i r t + i r t	n ai ⁵⁵ + m a ³¹
#
6938	Maru	aunt (father's sister)	236	na³¹	9593	i r t	n a ³¹
#
3489	Achang_Longchuan	aunt (father's younger sister) (note:father's_younger_sister)	1845	naŋ⁵⁵	627	i r t	n aŋ ⁵⁵
10089	Bola	aunt (father's younger sister) (note:father's_younger_sister)	1845	nai⁵⁵thɔ̃³¹	627 628	i r t + i r t	n ai ⁵⁵ + th ɔ̃∼ ³¹
#
8285	Maru	aunt (mother's brother's wife)	1702	jauk³¹mji̱⁵⁵	633 10587	i m r t + i m r t	ʔj j jauk ³¹ + ˀmj j ji ⁵⁵
10012	Bola	aunt (mother's brother's wife)	1702	jauʔ³¹mi̱³⁵	633 10587	i m r t + i r t	ʔj j jauʔ ³¹ + ˀm i ³⁵
#
3492	Achang_Longchuan	aunt (mother's older brother's wife) (note:mother's_older_brother's_wife)	1848	paʔ³¹	644	i r t	p aʔ ³¹
#
3485	Achang_Longchuan	aunt (mother's older sister) (note:mother's_younger_sister)	1841	paʔ⁵⁵	646	i r t	p aʔ ⁵⁵
10083	Bola	aunt (mother's older sister) (note:mother's_younger_sister)	1841	a⁵⁵ma³¹	647 648	i r t + i r t	ʔ a ⁵⁵ + m a ³¹
#
6937	Maru	aunt (mother's sister)	235	a³¹mji̱⁵⁵	650 653	i r t + i m r t	ʔ a ³¹ + ˀmj j ji ⁵⁵
#
3493	Achang_Longchuan	aunt (mother's younger brother's wife) (note:mother's_younger_brother's_wife)	1849	phă⁵⁵ʂək⁵⁵	661 662	i r t + i r t	pʰ ă ⁵⁵ + ʂ ək ⁵⁵
#
3484	Achang_Longchuan	aunt (mother's younger sister) (note:mother's_older_sister)	1840	naŋ⁵⁵	664	i r t	n aŋ ⁵⁵
10082	Bola	aunt (mother's younger sister) (note:mother's_older_sister)	1840	a⁵⁵thɔ̃³¹	665 666	i r t + i r t	ʔ a ⁵⁵ + th ɔ̃∼ ³¹
#
2043	Achang_Longchuan	aunt (wife of father's elder brother)	227	paʔ³¹	668	i r t	p aʔ ³¹
6929	Maru	aunt (wife of father's elder brother)	227	mji̱⁵⁵mɔ⁵⁵	673 18942	i m r t + i r t	ˀmj j ji ⁵⁵ + m ɔ ⁵⁵
8565	Bola	aunt (wife of father's elder brother)	227	a⁵⁵ma³¹	19622 18942	i r t + i r t	ʔ a ⁵⁵ + m a ³¹
#
2045	Achang_Longchuan	aunt (wife of father's younger brother)	229	ʂək⁵⁵	683	i r t	ʂ ək ⁵⁵
6931	Maru	aunt (wife of father's younger brother)	229	a³¹mji̱⁵⁵	19622 3745	i r t + i m r t	ʔ a ³¹ + ˀmj j ji ⁵⁵
8567	Bola	aunt (wife of father's younger brother)	229	a⁵⁵thɔ̃³¹	19622 686	i r t + i r t	ʔ a ⁵⁵ + th ɔ̃∼ ³¹
#
3036	Achang_Longchuan	avoid certain food (because of	1305	kam³¹	698	i r t	k am ³¹
7895	Maru	avoid certain food (because of	1305	tʃan³⁵	699	i r t	tʃ an ³⁵
9612	Bola	avoid certain food (because of	1305	kam³⁵	698	i r t	k am ³⁵
#
2331	Achang_Longchuan	awl	542	mat³⁵	706	i r t	m at ³⁵
7211	Maru	awl	542	tum³⁵	707	i r t	t um ³⁵
8863	Bola	awl	542	tɔn³¹	707	i r t	t ɔn ³¹
#
7072	Maru	awn of wheat	388	mɛ³¹ja³¹tshɛ̃³¹	717 718 720	i r t + i m r t + i r t	m ɛ ³¹ + ʔj j ja ³¹ + tsh ɛ̃∼ ³¹
8714	Bola	awn of wheat	388	mɛ³¹ja⁵¹tu³¹	717 718 719	i r t + i m r t + i r t	m ɛ ³¹ + ʔj j ja ⁵¹ + t u ³¹
#
2352	Achang_Longchuan	axe	567	u³¹tɕɔŋ³¹	2799 729	i r t + i r t	ʔ u ³¹ + tɕ ɔŋ ³¹
7232	Maru	axe	567	və̆⁵⁵tsauŋ³¹	730 729	i r t + i r t	v ə̆ ⁵⁵ + ts auŋ ³¹
8887	Bola	axe	567	və̆³¹tsauŋ³¹	730 729	i r t + i r t	v ə̆ ³¹ + ts auŋ ³¹
12095	Old_Burmese	axe	567	puʔ◦chin	19158 729	i r t + i r t	p u ⁵³ + tɕh in ²²
#
3055	Achang_Longchuan	baa / bleat	1325	mʐəŋ⁵⁵	3915	i m r t	mʐ ʐ ʐəŋ ⁵⁵
7913	Maru	baa / bleat	1325	mjaŋ³¹	3915	i m r t	mj j jaŋ ³¹
9632	Bola	baa / bleat	1325	mjaŋ⁵⁵	3915	i m r t	mj j jaŋ ⁵⁵
#
1987	Achang_Longchuan	baby	168	tsɔ³¹na⁵⁵	754 755	i r t + i r t	ts ɔ ³¹ + n a ⁵⁵
6874	Maru	baby	168	tsɔ̆³⁵nau⁵⁵	754 755	i r t + i r t	ts ɔ̆ ³⁵ + n au ⁵⁵
8508	Bola	baby	168	ta³¹nɔ³⁵	754 755	i r t + i r t	t a ³¹ + n ɔ ³⁵
#
1914	Achang_Longchuan	back	90	xa³¹luŋ³⁵	11290 772	i r t + i r t	x a ³¹ + l uŋ ³⁵
2439	Achang_Longchuan	back	90	n̥oŋ⁵⁵pa³¹	773 779	i r t + i r t	n̥ oŋ ⁵⁵ + p a ³¹
6807	Maru	back	90	kauŋ³¹tɔ̃⁵⁵	774 775	i r t + i r t	k auŋ ³¹ + t ɔ̃∼ ⁵⁵
7310	Maru	back	90	thɔ̃³¹	19644	i r t	th ɔ̃∼ ³¹
8437	Bola	back	90	kauŋ⁵⁵tɔ̱̃³⁵	774 775	i r t + i r t	k auŋ ⁵⁵ + ˀt ɔ̃∼ ³⁵
8979	Bola	back	90	thɔ̃⁵⁵	19643	i r t	th ɔ̃∼ ⁵⁵
#
3298	Achang_Longchuan	back up / retreat	1573	xun³⁵	795	i r t	x un ³⁵
8157	Maru	back up / retreat	1573	tsat³¹	796	i r t	ts at ³¹
9884	Bola	back up / retreat	1573	tsɔt³¹	796	i r t	ts ɔt ³¹
#
2721	Achang_Longchuan	bad	960	tɕa⁵⁵	803	i r t	tɕ a ⁵⁵
7591	Maru	bad	960	kɔi³⁵	803	i r t	k ɔi ³⁵
9275	Bola	bad	960	a³¹kai⁵⁵	805 803	i r t + i r t	ʔ a ³¹ + k ai ⁵⁵
11611	Old_Burmese	bad	960	chuiwḥ	807	i r t	tɕh əw ⁵⁵
#
3469	Achang_Longchuan	bald / bare	1754	liŋ⁵⁵	814	i r t	l iŋ ⁵⁵
8337	Maru	bald / bare	1754	tauŋ³⁵	817	i r t	t auŋ ³⁵
10064	Bola	bald / bare	1754	ŋa̱m³⁵	816	i r t	ˀŋ am ³⁵
11982	Old_Burmese	bald / bare	1754	tumḥ	817	i r t	t um ⁵⁵
#
2017	Achang_Longchuan	baldhead	203	nă³¹kuaŋ³¹liŋ⁵⁵	822 14294 814	i r t + i r t + i r t	n ă ³¹ + k uaŋ ³¹ + l iŋ ⁵⁵
6904	Maru	baldhead	203	au³⁵tauŋ³¹	825 827	i r t + i r t	ʔ au ³⁵ + t auŋ ³¹
8540	Bola	baldhead	203	ŭ̱³⁵kɔŋ³¹	825 14294	i r t + i r t	ʔ ŭ ³⁵ + k ɔŋ ³¹
#
2166	Achang_Longchuan	bamboo	366	o³¹	837	i r t	ʔ o ³¹
7051	Maru	bamboo	366	vɔ³⁵	837	i r t	v ɔ ³⁵
8690	Bola	bamboo	366	va³¹	837	i r t	v a ³¹
11612	Old_Burmese	bamboo	366	waḥ	837	i r t	w a ⁵⁵
#
3429	Achang_Longchuan	banana (plantain)	1713	kuiʔ³¹	851	i r t	k uiʔ ³¹
8296	Maru	banana (plantain)	1713	ŋɔʔ³¹mjauk³¹	852 853	i r t + i m r t	ŋ ɔʔ ³¹ + mj j jauk ³¹
10023	Bola	banana (plantain)	1713	ŋaʔ³¹mjauʔ³¹	852 853	i r t + i m r t	ŋ aʔ ³¹ + mj j jauʔ ³¹
11937	Old_Burmese	banana (plantain)	1713	ṅhak◦plyo₂ḥ	852 854	i r t + i m r t	ŋ̊ ak ⁴ + plj lj ljʊ ⁵⁵
#
3053	Achang_Longchuan	bark	1323	kʐap⁵⁵	867	i m r t	kʐ ʐ ʐap ⁵⁵
7911	Maru	bark	1323	ɣɛʔ³¹	867	i r t	ɣ ɛʔ ³¹
9630	Bola	bark	1323	ɣɛʔ	867	i r	ɣ ɛʔ
12059	Old_Burmese	bark	1323	ho₂ṅ	869	i r t	h ʊŋ ²²
#
8711	Bola	barley	386	mɛ³¹ja⁵¹	18794 718	i r t + i m r t	m ɛ ³¹ + ʔj j ja ⁵¹
#
8303	Maru	basket carried on the back	1858	tɔ̃³⁵	885	i r t	t ɔ̃∼ ³⁵
#
3496	Achang_Longchuan	basket carried on the back (dense strips)	1852	pa⁵⁵laʔ³¹	890 891	i r t + i r t	p a ⁵⁵ + l aʔ ³¹
10091	Bola	basket carried on the back (dense strips)	1852	tɔ̃³¹	892	i r t	t ɔ̃∼ ³¹
#
10093	Bola	basket carried on the back (dense, uniform-sized)	1871	pjɛ̱ʔ⁵⁵	894	i m r t	ˀpj j jɛʔ ⁵⁵
#
3497	Achang_Longchuan	basket carried on the back (sparse strips)	1853	tɕun³¹	896	i r t	tɕ un ³¹
10092	Bola	basket carried on the back (sparse strips)	1853	tʃam³⁵	897	i r t	tʃ am ³⁵
#
2562	Achang_Longchuan	basketful (of vegetable)	805	tuaŋ⁵⁵	899	i r t	t uaŋ ⁵⁵
7438	Maru	basketful (of vegetable)	805	muŋ³¹	899	i r t	m uŋ ³¹
9118	Bola	basketful (of vegetable)	805	muŋ³¹	899	i r t	m uŋ ³¹
#
